"id","id_beneficaria","id_rubro","fecha_entrega","fecha_cobro","prestamo","saldo_anterior","monto_cheque","tasa_interes","deuda_total","id_cartera","cuotas","nro_credito","fecha_finalizacion","comentarios","gastos_arquitecto"
1,34,33,2007-01-13 0:00:00,2007-01-15 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2007-11-10 0:00:00,,
2,20,4,2007-01-13 0:00:00,2007-01-15 0:00:00,$500.00,96,$404.10,0.20,$600.00,1,48,"3",2008-01-08 0:00:00,"Incobrable 2008",
3,144,5,2007-02-20 0:00:00,2007-02-05 0:00:00,$800.00,0,$800.00,0.20,$960.00,1,48,"8",2008-02-16 0:00:00,,
4,13,6,2007-02-03 0:00:00,2007-02-05 0:00:00,$500.00,42,$457.50,0.20,$600.00,1,48,"2",2008-02-04 0:00:00,,
5,151,4,2007-02-03 0:00:00,2007-02-05 0:00:00,$500.00,51,$449.45,0.20,$600.00,1,48,"2",2007-09-29 0:00:00,,
6,149,6,2007-02-10 0:00:00,2007-02-12 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2007-07-02 0:00:00,,
7,50,18,2007-02-17 0:00:00,2007-02-19 0:00:00,$700.00,141,$559.26,0.20,$840.00,1,48,"7",2007-12-22 0:00:00,,
8,28,2,2007-02-17 0:00:00,2007-02-19 0:00:00,$500.00,88,$412.50,0.20,$600.00,1,48,"3",2007-12-03 0:00:00,,
9,69,18,2007-02-24 0:00:00,2007-02-26 0:00:00,$600.00,12,$588.32,0.20,$720.00,1,48,"4",2007-12-08 0:00:00,,
10,18,18,2007-02-24 0:00:00,2007-02-26 0:00:00,$600.00,108,$492.25,0.20,$720.00,1,48,"4",2008-12-31 0:00:00,"Incobrable 2008",
11,150,18,2007-02-24 0:00:00,2007-02-26 0:00:00,$500.00,23,$477.45,0.20,$600.00,1,48,"2",2008-02-09 0:00:00,,
12,152,5,2007-03-30 0:00:00,2007-04-13 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2008-02-09 0:00:00,,
13,147,7,2007-03-03 0:00:00,2007-03-05 0:00:00,$800.00,0,$800.00,0.20,$960.00,1,48,"8",2007-12-15 0:00:00,,
14,164,1,2007-03-10 0:00:00,2007-03-12 0:00:00,$400.00,0,$400.00,0.20,$480.00,1,48,"1",2007-12-01 0:00:00,,
15,163,1,2007-03-10 0:00:00,2007-03-12 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2007-12-01 0:00:00,,
16,167,1,2007-03-10 0:00:00,2007-03-12 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2007-12-01 0:00:00,,
17,165,1,2007-03-10 0:00:00,2007-03-12 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2008-04-19 0:00:00,,
18,166,1,2007-03-10 0:00:00,2007-03-12 0:00:00,$400.00,0,$400.00,0.20,$480.00,1,48,"1",2007-12-01 0:00:00,,
19,60,18,2007-03-10 0:00:00,2007-03-12 0:00:00,$600.00,0,$600.00,0.20,$720.00,1,48,"4",2007-12-03 0:00:00,,
20,62,4,2007-03-17 0:00:00,2007-03-19 0:00:00,$600.00,0,$600.00,0.20,$720.00,1,48,"5",2008-04-12 0:00:00,,
21,45,8,2007-03-17 0:00:00,2007-03-19 0:00:00,$600.00,107,$493.06,0.20,$720.00,1,48,"4",2009-04-04 0:00:00,,
22,74,9,2007-03-17 0:00:00,2007-03-19 0:00:00,$600.00,7,$592.90,0.20,$720.00,1,48,"4",2007-12-08 0:00:00,,
23,98,10,2007-03-24 0:00:00,2007-03-26 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2008-02-02 0:00:00,,
24,137,18,2007-03-30 0:00:00,2007-04-01 0:00:00,$2000.00,144,$1856.20,0.20,$2400.00,1,48,"10",2007-12-15 0:00:00,,
25,146,11,2007-03-30 0:00:00,2007-04-01 0:00:00,$955.00,0,$955.00,0.20,$1146.00,1,48,"9",2008-03-29 0:00:00,,
26,100,1,2007-03-30 0:00:00,2007-04-01 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2007-12-15 0:00:00,,
27,148,1,2007-03-30 0:00:00,2007-04-01 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2008-12-31 0:00:00,"Incobrable 2008",
28,168,1,2007-04-21 0:00:00,2007-04-23 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2008-03-29 0:00:00,,
29,169,1,2007-04-21 0:00:00,2007-04-23 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2008-02-23 0:00:00,,
30,170,1,2007-04-21 0:00:00,2007-04-23 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2008-02-23 0:00:00,,
31,171,1,2007-04-21 0:00:00,2007-04-23 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2008-02-02 0:00:00,,
32,172,1,2007-04-21 0:00:00,2007-04-23 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2008-02-23 0:00:00,,
33,58,2,2007-04-28 0:00:00,2007-04-30 0:00:00,$700.00,93,$607.21,0.20,$840.00,1,48,"6",2008-05-03 0:00:00,,
34,123,1,2007-05-05 0:00:00,2007-05-07 0:00:00,$300.00,0,$300.00,0.20,$360.00,1,48,"1",2009-12-31 0:00:00,"Incobrable 2009",
35,124,1,2007-05-05 0:00:00,2007-05-07 0:00:00,$415.00,0,$415.00,0.20,$498.00,1,48,"1",2010-02-06 0:00:00,,
36,125,1,2007-05-05 0:00:00,2007-05-07 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2007-12-08 0:00:00,"Incobrable 2007",
37,126,1,2007-05-05 0:00:00,2007-05-07 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2007-11-03 0:00:00,"Incobrable 2007",
38,127,1,2007-05-05 0:00:00,2007-05-07 0:00:00,$423.00,0,$423.00,0.20,$507.60,1,48,"1",2008-05-03 0:00:00,,
39,101,1,2007-05-05 0:00:00,2007-05-07 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2008-02-02 0:00:00,,
40,102,1,2007-05-05 0:00:00,2007-05-07 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2007-10-27 0:00:00,,
