"id","id_beneficaria","id_rubro","fecha_entrega","fecha_cobro","prestamo","saldo_anterior","monto_cheque","tasa_interes","deuda_total","id_cartera","cuotas","nro_credito","fecha_finalizacion","comentarios","gastos_arquitecto"
1,34,33,2007-01-13,2007-01-15,500.00,0,500.00,0.20,600.00,1,48,"2",2007-11-10,\N,\N
2,20,4,2007-01-13,2007-01-15,500.00,96,404.10,0.20,600.00,1,48,"3",2008-01-08,"Incobrable 2008",\N
3,144,5,2007-02-20,2007-02-05,800.00,0,800.00,0.20,960.00,1,48,"8",2008-02-16,\N,\N
4,13,6,2007-02-03,2007-02-05,500.00,42,457.50,0.20,600.00,1,48,"2",2008-02-04,\N,\N
5,151,4,2007-02-03,2007-02-05,500.00,51,449.45,0.20,600.00,1,48,"2",2007-09-29,\N,\N
6,149,6,2007-02-10,2007-02-12,500.00,0,500.00,0.20,600.00,1,48,"2",2007-07-02,\N,\N
7,50,18,2007-02-17,2007-02-19,700.00,141,559.26,0.20,840.00,1,48,"7",2007-12-22,\N,\N
8,28,2,2007-02-17,2007-02-19,500.00,88,412.50,0.20,600.00,1,48,"3",2007-12-03,\N,\N
9,69,18,2007-02-24,2007-02-26,600.00,12,588.32,0.20,720.00,1,48,"4",2007-12-08,\N,\N
10,18,18,2007-02-24,2007-02-26,600.00,108,492.25,0.20,720.00,1,48,"4",2008-12-31,"Incobrable 2008",\N
11,150,18,2007-02-24,2007-02-26,500.00,23,477.45,0.20,600.00,1,48,"2",2008-02-09,\N,\N
12,152,5,2007-03-30,2007-04-13,500.00,0,500.00,0.20,600.00,1,48,"2",2008-02-09,\N,\N
13,147,7,2007-03-03,2007-03-05,800.00,0,800.00,0.20,960.00,1,48,"8",2007-12-15,\N,\N
14,164,1,2007-03-10,2007-03-12,400.00,0,400.00,0.20,480.00,1,48,"1",2007-12-01,\N,\N
15,163,1,2007-03-10,2007-03-12,450.00,0,450.00,0.20,540.00,1,48,"1",2007-12-01,\N,\N
16,167,1,2007-03-10,2007-03-12,450.00,0,450.00,0.20,540.00,1,48,"1",2007-12-01,\N,\N
17,165,1,2007-03-10,2007-03-12,450.00,0,450.00,0.20,540.00,1,48,"1",2008-04-19,\N,\N
18,166,1,2007-03-10,2007-03-12,400.00,0,400.00,0.20,480.00,1,48,"1",2007-12-01,\N,\N
19,60,18,2007-03-10,2007-03-12,600.00,0,600.00,0.20,720.00,1,48,"4",2007-12-03,\N,\N
20,62,4,2007-03-17,2007-03-19,600.00,0,600.00,0.20,720.00,1,48,"5",2008-04-12,\N,\N
21,45,8,2007-03-17,2007-03-19,600.00,107,493.06,0.20,720.00,1,48,"4",2009-04-04,\N,\N
22,74,9,2007-03-17,2007-03-19,600.00,7,592.90,0.20,720.00,1,48,"4",2007-12-08,\N,\N
