"id_credito","monto","fecha","id_asistencia"
1,24.00,2007-06-23,1
1,25.00,2007-07-07,1
1,25.00,2007-07-14,1
1,24.00,2007-07-21,1
1,25.00,2007-07-28,1
1,24.00,2007-08-04,1
1,24.00,2007-08-11,1
1,12.00,2007-08-25,1
1,12.00,2007-09-01,1
1,24.00,2007-09-08,1
1,24.00,2007-09-22,1
1,24.00,2007-10-06,1
1,27.00,2007-10-13,1
1,25.00,2007-10-20,1
1,25.00,2007-10-27,1
1,25.00,2007-11-03,1
1,25.00,2007-11-10,1
2,12.50,2007-01-20,1
2,12.50,2007-01-27,1
2,12.50,2007-02-03,1
2,12.50,2007-02-10,1
2,12.50,2007-02-17,1
2,12.50,2007-02-24,1
2,12.50,2007-03-10,1
2,13.00,2007-04-28,1
2,24.50,2007-05-07,1
2,12.50,2007-06-04,1
2,50.00,2007-07-02,1
2,25.00,2007-09-03,1
2,37.50,2007-11-05,1
2,50.00,2007-12-03,1
2,12.50,2008-01-01,1
2,26.00,2008-01-07,1
2,12.50,2008-01-08,1
3,60.00,2007-02-05,1
3,80.00,2007-03-05,1
3,60.00,2007-04-02,1
3,50.00,2007-05-07,1
3,30.00,2007-05-12,1
3,60.00,2007-06-04,1
3,30.00,2007-07-02,1
3,90.00,2007-08-06,1
3,90.00,2007-09-03,1
3,120.00,2007-10-01,1
3,110.00,2007-11-05,1
3,90.00,2007-12-03,1
3,70.00,2008-01-07,1
3,30.00,2008-02-09,1
3,20.00,2008-02-16,1
4,12.50,2007-02-17,1
4,12.50,2007-02-24,1
4,25.00,2007-03-10,1
4,12.50,2007-03-17,1
4,12.50,2007-03-31,1
4,25.00,2007-04-14,1
4,20.00,2007-04-21,1
4,15.00,2007-04-28,1
4,12.00,2007-05-07,1
4,20.00,2007-06-04,1
4,12.00,2007-07-02,1
4,12.00,2007-12-03,1
4,12.00,2008-01-08,1
4,10.00,2008-02-04,1
5,25.00,2007-02-17,1
5,25.00,2007-02-24,1
5,25.00,2007-03-03,1
5,25.00,2007-03-10,1
5,25.00,2007-03-17,1
5,25.00,2007-03-24,1
5,10.00,2007-03-31,1
5,15.00,2007-04-14,1
5,25.00,2007-04-21,1
5,25.00,2007-04-28,1
5,18.00,2007-05-05,1
5,25.00,2007-05-19,1
5,25.00,2007-05-26,1
5,25.00,2007-06-02,1
5,25.00,2007-06-09,1
5,12.00,2007-06-16,1
5,25.00,2007-06-23,1
5,25.00,2007-06-30,1
5,25.00,2007-07-07,1
5,25.00,2007-07-14,1
5,25.00,2007-07-28,1
5,25.00,2007-08-04,1
5,25.00,2007-08-11,1
5,37.50,2007-08-18,1
5,20.00,2007-09-01,1
5,12.50,2007-09-29,1
5,12.00,2008-05-31,3
6,50.35,2007-02-03,1
6,25.00,2007-02-24,1
6,25.00,2007-03-03,1
6,25.00,2007-03-10,1
6,25.00,2007-03-17,1
6,25.00,2007-03-24,1
6,25.00,2007-04-21,1
6,25.00,2007-05-12,1
6,25.00,2007-05-19,1
6,25.00,2007-06-02,1
6,15.00,2007-06-16,1
6,25.00,2007-06-23,1
6,25.00,2007-06-30,1
6,159.60,2007-07-02,1
7,25.00,2007-02-24,1
7,20.00,2007-03-03,1
7,20.00,2007-03-10,1
7,18.00,2007-03-17,1
7,20.00,2007-03-24,1
7,10.00,2007-03-31,1
7,10.00,2007-04-14,1
7,17.00,2007-04-21,1
7,20.00,2007-04-28,1
7,20.00,2007-05-05,1
7,14.00,2007-05-12,1
7,18.00,2007-05-19,1
7,20.00,2007-06-02,1
7,20.00,2007-06-09,1
7,25.00,2007-06-23,1
7,10.00,2007-06-30,1
7,18.00,2007-07-07,1
7,17.00,2007-07-14,1
7,17.00,2007-07-21,1
7,18.00,2007-07-28,1
7,18.00,2007-08-04,1
7,16.00,2007-08-11,1
7,17.50,2007-08-18,1
7,18.50,2007-08-25,1
7,20.00,2007-09-08,1
7,14.00,2007-09-15,1
7,17.50,2007-09-22,1
7,19.00,2007-09-29,1
7,17.00,2007-10-06,1
7,18.00,2007-10-13,1
7,16.00,2007-10-20,1
7,17.50,2007-10-27,1
7,18.00,2007-11-03,1
7,20.00,2007-11-10,1
7,20.00,2007-11-17,1
7,20.00,2007-11-24,1
7,47.00,2007-12-01,1
8,12.50,2007-03-03,1
8,12.50,2007-03-10,1
8,12.50,2007-03-17,1
8,12.50,2007-03-24,1
8,25.00,2007-03-31,1
8,12.50,2007-04-14,1
8,12.50,2007-04-21,1
8,12.50,2007-04-28,1
8,37.50,2007-05-07,1
8,50.00,2007-06-04,1
8,63.50,2007-07-02,1
8,36.50,2007-08-06,1
8,50.00,2007-09-03,1
8,50.00,2007-10-01,1
8,50.00,2007-11-05,1
8,112.50,2007-12-03,1
8,37.50,2008-04-08,1
9,15.00,2007-03-10,1
9,45.00,2007-03-31,1
9,30.00,2007-04-14,1
9,15.00,2007-04-21,1
9,15.00,2007-04-28,1
9,20.00,2007-05-05,1
9,26.00,2007-05-19,1
9,15.00,2007-05-26,1
9,30.00,2007-06-04,1
9,30.00,2007-06-09,1
9,15.00,2007-06-30,1
9,20.00,2007-07-14,1
9,30.00,2007-07-28,1
9,20.00,2007-08-11,1
9,30.00,2007-08-25,1
9,15.00,2007-09-01,1
9,30.00,2007-09-15,1
9,30.00,2007-09-29,1
9,45.00,2007-10-20,1
9,30.00,2007-11-03,1
9,30.00,2007-11-17,1
9,30.00,2007-12-01,1
9,15.00,2007-12-08,1
10,20.00,2007-03-10,1
10,60.00,2007-04-14,1
10,30.00,2007-04-21,1
10,30.00,2007-05-07,1
10,110.00,2007-06-04,1
10,30.00,2007-10-01,1
10,80.00,2007-11-05,1
10,60.00,2007-12-03,1
10,20.00,2008-01-01,1
10,25.00,2008-01-15,1
10,20.00,2008-03-04,1
10,10.00,2008-03-11,1
10,20.00,2008-03-18,1
10,30.00,2008-03-25,1
11,20.00,2007-03-10,1
11,20.00,2007-03-17,1
11,20.00,2007-03-24,1
11,10.00,2007-03-31,1
11,115.00,2007-04-14,1
11,5.00,2007-04-21,1
11,22.50,2007-05-05,1
11,30.00,2007-06-02,1
11,20.00,2007-06-16,1
11,35.00,2007-06-30,1
11,20.00,2007-07-14,1
11,20.00,2007-07-28,1
11,20.00,2007-08-11,1
11,20.00,2007-08-25,1
11,30.00,2007-09-08,1
11,14.00,2007-10-06,1
11,15.00,2007-10-13,1
11,30.00,2007-10-27,1
11,15.00,2007-11-10,1
11,12.00,2007-11-17,1
11,14.00,2007-12-08,1
11,24.00,2007-12-22,1
11,20.00,2007-12-29,1
11,10.00,2008-01-05,1
11,14.00,2008-01-12,1
11,20.00,2008-02-02,1
11,15.00,2008-02-09,1
12,15.00,2007-03-17,1
12,10.00,2007-03-24,1
12,12.00,2007-03-31,1
12,12.00,2007-04-14,1
12,13.00,2007-04-21,1
12,25.00,2007-05-05,1
12,12.50,2007-05-12,1
12,12.50,2007-05-19,1
12,12.50,2007-05-26,1
12,12.50,2007-06-02,1
12,12.50,2007-06-09,1
12,12.50,2007-06-16,1
12,12.50,2007-06-23,1
12,12.50,2007-06-30,1
12,12.50,2007-07-14,1
12,12.50,2007-07-21,1
12,15.00,2007-07-28,1
12,10.00,2007-08-11,1
12,12.50,2007-08-18,1
12,13.00,2007-08-25,1
12,12.00,2007-09-01,1
12,15.00,2007-09-08,1
12,10.00,2007-09-15,1
12,12.50,2007-09-22,1
12,12.50,2007-09-29,1
12,12.50,2007-10-06,1
12,12.50,2007-10-13,1
12,12.50,2007-10-20,1
12,12.50,2007-10-27,1
12,12.50,2007-11-03,1
12,12.50,2007-11-10,1
12,12.50,2007-11-17,1
12,14.00,2007-11-24,1
12,12.50,2007-12-01,1
12,12.50,2007-12-08,1
12,12.50,2007-12-15,1
12,12.50,2007-12-22,1
12,15.50,2007-12-29,1
12,15.00,2008-01-05,1
12,12.50,2008-01-12,1
12,12.50,2008-01-19,1
12,12.50,2008-01-26,1
12,7.50,2008-02-02,1
12,48.50,2008-02-09,1
13,20.00,2007-03-17,1
13,20.00,2007-03-24,1
13,20.00,2007-03-31,1
13,30.00,2007-04-14,1
13,30.00,2007-04-21,1
13,20.00,2007-04-28,1
13,20.00,2007-05-05,1
13,20.00,2007-05-12,1
13,20.00,2007-05-19,1
13,20.00,2007-05-26,1
13,20.00,2007-06-02,1
13,20.00,2007-06-09,1
13,20.00,2007-06-16,1
13,40.00,2007-06-30,1
13,20.00,2007-07-07,1
13,20.00,2007-07-14,1
13,20.00,2007-07-21,1
13,20.00,2007-07-28,1
13,20.00,2007-08-04,1
13,20.00,2007-08-11,1
13,20.00,2007-08-18,1
13,20.00,2007-08-25,1
13,20.00,2007-09-01,1
13,20.00,2007-09-08,1
13,20.00,2007-09-15,1
13,20.00,2007-09-22,1
13,20.00,2007-09-29,1
13,20.00,2007-10-06,1
13,40.00,2007-10-20,1
13,20.00,2007-10-27,1
13,60.00,2007-11-03,1
13,40.00,2007-11-10,1
13,20.00,2007-11-17,1
13,20.00,2007-11-24,1
13,20.00,2007-12-15,1
14,10.00,2007-03-24,1
14,10.00,2007-03-31,1
14,10.00,2007-04-14,1
14,10.00,2007-04-21,1
14,10.00,2007-04-28,1
14,10.00,2007-05-05,1
14,20.00,2007-05-19,1
14,20.00,2007-06-02,1
14,10.00,2007-06-09,1
14,10.00,2007-06-23,1
14,10.00,2007-06-30,1
14,10.00,2007-07-14,1
14,10.00,2007-07-21,1
14,10.00,2007-07-28,1
14,10.00,2007-08-04,1
14,10.00,2007-08-11,1
14,10.00,2007-08-18,1
