"id_credito","nro_cuota","porcentaje","fecha","aporte","capital","saldo_semana","interes_pagado","pagado_a_fecha","saldo"
1,1,2.08,2007-01-27 0:00:00,2.08,10.41,489.58,2.08,12.50,587.50
1,2,4.16,2007-02-03 0:00:00,2.08,10.41,479.16,4.16,25.00,575.00
1,3,6.25,2007-02-10 0:00:00,2.08,10.41,468.75,6.25,37.50,562.50
1,4,8.33,2007-02-17 0:00:00,2.08,10.41,458.33,8.33,50.00,550.00
1,5,10.41,2007-02-24 0:00:00,2.08,10.41,447.91,10.41,62.50,537.50
1,6,12.50,2007-03-03 0:00:00,2.08,10.41,437.50,12.50,75.00,525.00
1,7,14.58,2007-03-10 0:00:00,2.08,10.41,427.08,14.58,87.50,512.50
1,8,16.66,2007-03-17 0:00:00,2.08,10.41,416.66,16.66,100.00,500.00
1,9,18.75,2007-03-24 0:00:00,2.08,10.41,406.25,18.75,112.50,487.50
1,10,20.83,2007-03-31 0:00:00,2.08,10.41,395.83,20.83,125.00,475.00
1,11,22.91,2007-04-07 0:00:00,2.08,10.41,385.41,22.91,137.50,462.50
1,12,25.00,2007-04-14 0:00:00,2.08,10.41,375.00,25.00,150.00,450.00
1,13,27.08,2007-04-21 0:00:00,2.08,10.41,364.58,27.08,162.50,437.50
1,14,29.16,2007-04-28 0:00:00,2.08,10.41,354.16,29.16,175.00,425.00
1,15,31.25,2007-05-05 0:00:00,2.08,10.41,343.75,31.25,187.50,412.50
1,16,33.33,2007-05-12 0:00:00,2.08,10.41,333.33,33.33,200.00,400.00
1,17,35.41,2007-05-19 0:00:00,2.08,10.41,322.91,35.41,212.50,387.50
1,18,37.50,2007-05-26 0:00:00,2.08,10.41,312.50,37.50,225.00,375.00
1,19,39.58,2007-06-02 0:00:00,2.08,10.41,302.08,39.58,237.50,362.50
1,20,41.66,2007-06-09 0:00:00,2.08,10.41,291.66,41.66,250.00,350.00
1,21,43.75,2007-06-16 0:00:00,2.08,10.41,281.25,43.75,262.50,337.50
1,22,45.83,2007-06-23 0:00:00,2.08,10.41,270.83,45.83,275.00,325.00
1,23,47.91,2007-06-30 0:00:00,2.08,10.41,260.41,47.91,287.50,312.50
1,24,50.00,2007-07-07 0:00:00,2.08,10.41,250.00,50.00,300.00,300.00
1,25,52.08,2007-07-14 0:00:00,2.08,10.41,239.58,52.08,312.50,287.50
1,26,54.16,2007-07-21 0:00:00,2.08,10.41,229.16,54.16,325.00,275.00
1,27,56.25,2007-07-28 0:00:00,2.08,10.41,218.75,56.25,337.50,262.50
1,28,58.33,2007-08-04 0:00:00,2.08,10.41,208.33,58.33,350.00,250.00
1,29,60.41,2007-08-11 0:00:00,2.08,10.41,197.91,60.41,362.50,237.50
1,30,62.50,2007-08-18 0:00:00,2.08,10.41,187.50,62.50,375.00,225.00
1,31,64.58,2007-08-25 0:00:00,2.08,10.41,177.08,64.58,387.50,212.50
1,32,66.66,2007-09-01 0:00:00,2.08,10.41,166.66,66.66,400.00,200.00
1,33,68.75,2007-09-08 0:00:00,2.08,10.41,156.25,68.75,412.50,187.50
1,34,70.83,2007-09-15 0:00:00,2.08,10.41,145.83,70.83,425.00,175.00
1,35,72.91,2007-09-22 0:00:00,2.08,10.41,135.41,72.91,437.50,162.50
1,36,75.00,2007-09-29 0:00:00,2.08,10.41,125.00,75.00,450.00,150.00
1,37,77.08,2007-10-06 0:00:00,2.08,10.41,114.58,77.08,462.50,137.50
1,38,79.16,2007-10-13 0:00:00,2.08,10.41,104.16,79.16,475.00,125.00
1,39,81.25,2007-10-20 0:00:00,2.08,10.41,93.74,81.25,487.50,112.50
1,40,83.33,2007-10-27 0:00:00,2.08,10.41,83.33,83.33,500.00,100.00
1,41,85.41,2007-11-03 0:00:00,2.08,10.41,72.91,85.41,512.50,87.50
1,42,87.50,2007-11-10 0:00:00,2.08,10.41,62.49,87.50,525.00,75.00
1,43,89.58,2007-11-17 0:00:00,2.08,10.41,52.08,89.58,537.50,62.50
1,44,91.66,2007-11-24 0:00:00,2.08,10.41,41.66,91.66,550.00,50.00
1,45,93.75,2007-12-01 0:00:00,2.08,10.41,31.24,93.75,562.50,37.50
1,46,95.83,2007-12-08 0:00:00,2.08,10.41,20.83,95.83,575.00,25.00
1,47,97.91,2007-12-15 0:00:00,2.08,10.41,10.41,97.91,587.50,12.50
1,48,100.00,2007-12-22 0:00:00,2.08,10.41,-3.37507799486048e-13,99.99,600.00,0.00
