"id_credito","nro_cuota","fecha","saldo_deudor","cuota_m2000","cuota_habitat","cuota_total","saldo_restante","pagado_a_fecha"
847,1,2009-10-31 0:00:00,2790.62,71.25,13.22,84.47,3691.45,84.47
847,2,2009-11-14 0:00:00,2731.25,70.75,13.22,83.98,3606.97,168.95
847,3,2009-11-28 0:00:00,2671.87,70.50,13.22,83.73,3522.99,252.94
847,4,2009-12-12 0:00:00,2612.50,70.26,13.22,83.48,3439.25,336.67
847,5,2009-12-26 0:00:00,2553.12,70.01,13.22,83.24,3355.76,420.16
847,6,2010-01-09 0:00:00,2493.75,69.76,13.22,82.99,3272.52,503.41
847,7,2010-01-23 0:00:00,2434.37,69.51,13.22,82.74,3189.53,586.40
847,8,2010-02-06 0:00:00,2375.00,69.27,13.22,82.50,3106.78,669.15
847,9,2010-02-20 0:00:00,2315.62,69.02,13.22,82.25,3024.28,751.65
847,10,2010-03-06 0:00:00,2256.25,68.77,13.22,82.00,2942.03,833.90
847,11,2010-03-20 0:00:00,2196.87,68.52,13.22,81.75,2860.02,915.91
847,12,2010-04-03 0:00:00,2137.50,68.28,13.22,81.51,2778.26,997.66
847,13,2010-04-17 0:00:00,2078.12,68.03,13.22,81.26,2696.75,1079.17
847,14,2010-05-01 0:00:00,2018.75,67.78,13.22,81.01,2615.49,1160.44
847,15,2010-05-15 0:00:00,1959.37,67.53,13.22,80.76,2534.47,1241.45
847,16,2010-05-29 0:00:00,1900.00,67.29,13.22,80.52,2453.71,1322.22
847,17,2010-06-12 0:00:00,1840.62,67.04,13.22,80.27,2373.19,1402.74
847,18,2010-06-26 0:00:00,1781.25,66.79,13.22,80.02,2292.91,1483.02
847,19,2010-07-10 0:00:00,1721.87,66.54,13.22,79.77,2212.89,1563.04
847,20,2010-07-24 0:00:00,1662.50,66.30,13.22,79.53,2133.11,1642.82
847,21,2010-08-07 0:00:00,1603.12,66.05,13.22,79.28,2053.58,1722.35
847,22,2010-08-21 0:00:00,1543.75,65.80,13.22,79.03,1974.29,1801.64
847,23,2010-09-04 0:00:00,1484.37,65.55,13.22,78.78,1895.26,1880.67
847,24,2010-09-18 0:00:00,1425.00,65.31,13.22,78.54,1816.47,1959.46
847,25,2010-10-02 0:00:00,1365.62,65.06,13.22,78.29,1737.92,2038.00
847,26,2010-10-16 0:00:00,1306.25,64.81,13.22,78.04,1659.63,2116.30
847,27,2010-10-30 0:00:00,1246.87,64.57,13.22,77.79,1581.58,2194.34
847,28,2010-11-13 0:00:00,1187.50,64.32,13.22,77.55,1503.78,2272.14
847,29,2010-11-27 0:00:00,1128.12,64.07,13.22,77.30,1426.23,2349.70
847,30,2010-12-11 0:00:00,1068.75,63.82,13.22,77.05,1348.93,2427.00
847,31,2010-12-25 0:00:00,1009.37,63.58,13.22,76.80,1271.87,2504.06
847,32,2011-01-08 0:00:00,950.00,63.33,13.22,76.56,1195.06,2580.87
847,33,2011-01-22 0:00:00,890.62,63.08,13.22,76.31,1118.50,2657.43
847,34,2011-02-05 0:00:00,831.25,62.83,13.22,76.06,1042.18,2733.75
847,35,2011-02-19 0:00:00,771.87,62.59,13.22,75.82,966.11,2809.81
847,36,2011-03-05 0:00:00,712.50,62.34,13.22,75.57,890.29,2885.63
847,37,2011-03-19 0:00:00,653.12,62.09,13.22,75.32,814.72,2961.21
847,38,2011-04-02 0:00:00,593.75,61.84,13.22,75.07,739.40,3036.53
847,39,2011-04-16 0:00:00,534.37,61.60,13.22,74.83,664.32,3111.61
847,40,2011-04-30 0:00:00,475.00,61.35,13.22,74.58,589.49,3186.44
847,41,2011-05-14 0:00:00,415.62,61.10,13.22,74.33,514.90,3261.02
847,42,2011-05-28 0:00:00,356.25,60.85,13.22,74.08,440.57,3335.36
847,43,2011-06-11 0:00:00,296.87,60.61,13.22,73.84,366.48,3409.45
847,44,2011-06-25 0:00:00,237.50,60.36,13.22,73.59,292.64,3483.29
847,45,2011-07-09 0:00:00,178.12,60.11,13.22,73.34,219.04,3556.88
847,46,2011-07-23 0:00:00,118.75,59.86,13.22,73.09,145.70,3630.23
847,47,2011-08-06 0:00:00,59.37,59.62,13.22,72.85,72.60,3703.33
847,48,2011-08-20 0:00:00,0.00,59.37,13.22,72.60,-0.24,3776.18
